시도,시군구,시설명,주소,전화번호,팩스주소,홈페이지 주소,주차대수,공-사설 구분,안치능력,식당,매점,주차장,유족대기실,장애인편의시설
경기도,가평군,가평추모공원 자연장지,"경기도 가평군 가평읍 석봉로191번길 65-84 (읍내리, 가평추모공원)",031-580-2583,,,,공설,0,미설치,미설치,미설치,미설치,미설치
경기도,양평군,갈월사 자연장지,"경기도 양평군 양평읍 충신로324번길 64 (창대리, 갈월사)",031-774-7374,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,양주시,경신하늘뜰공원 자연장지,"경기도 양주시 남면 화합로430번길 98 (경신리, 경신하늘뜰공원)",031-861-5716,,https://www.yangju.go.kr/www/contents.do?key=503,10,공설,2500,미설치,설치,설치,설치,설치
경기도,포천시,광릉추모공원 자연장,경기도 포천시 내촌면 부마로 341 (마명리),031-532-2520,031-534-3116,www.gmemorialpark.com,200,사설,12000,설치,설치,설치,미설치,미설치
경기도,양평군,국립하늘숲추모원,경기도 양평군 양동면 양서동로 372 (계정리),031-775-6637,031-775-6639,sky.fowi.or.kr,200,공설,63150,미설치,미설치,설치,설치,미설치
경기도,김포시,금강사추모공원(자연장지),경기도 김포시 하성면 평화공원로70번길 104-25 (가금리),031-984-6544,,,,사설,20000,설치,미설치,설치,설치,설치
경기도,이천시,금광추모동산,경기도 이천시 설성면 상봉리 3-5,031-731-1004,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,연천군,기독교대한감리회전곡교회,경기도 연천군 전곡읍 양연로 1591-15전곡감리교회 (전곡리),031-832-3586,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,안성시,기독교대한성결교회 안성교회 자연장지,경기도 안성시 금광면 조령길 73-117 (삼흥리),031-674-2347,,,15,사설,800,미설치,미설치,설치,설치,미설치
경기도,김포시,김포문수산수목장,경기도 김포시 월곶면 문수산로 8 (포내리),031-985-5155,031-998-5751,www.김포장례서비스협동조합.com,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,김포시,김포시추모공원 자연장지,경기도 김포시 통진읍 애기봉로571번길 165 (귀전리),031-983-3960,,,10,공설,1130,미설치,미설치,설치,설치,미설치
경기도,포천시,내촌공설자연장지,경기도 포천시 내촌면 작은넙고개길 153 (진목리),031-540-6410,031-538-2269,www.pcuc.kr/open_content/,20,공설,1200,미설치,미설치,설치,미설치,미설치
경기도,양주시,대원정사 자연장지,경기도 양주시 장흥면 권율로309번길 317-214 (석현리),031-855-5501,,,,사설,890,미설치,미설치,미설치,미설치,미설치
경기도,연천군,대한예수교장로회 금호교회 자연장지,경기도 연천군 왕징면 북삼리 263,02-2234-5400,02-2234-1582,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,용인시,동화추모공원,경기도 용인시 처인구 백암면 한택로71번길 19 (옥산리),031-337-3324,,,,사설,841,미설치,미설치,미설치,미설치,미설치
경기도,안성시,명성교회 자연장지,경기도 안성시 삼죽면 마전리 132-4,02-486-1004,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,양평군,무궁화공원묘원(자연장지),경기도 양평군 서종면 잠실2길 120 (도장리),031-771-1400,,www.gravepark.co.kr,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,남양주시,무량수목장,"경기도 남양주시 수동면 비룡로850번길 33 (입석리, 대한불교조계종무량사)",031-594-7970,,,120,사설,3400,미설치,미설치,설치,설치,설치
경기도,양평군,별그리다(별의숲),경기도 양평군 양동면 양동금곡1길 331 (삼산리),031-333-1111,031-774-4710,www.star4ever.com,1300,사설,27269,설치,미설치,설치,설치,설치
경기도,양평군,북한강광명수목장,"경기도 양평군 서종면 북한강로 1138-69 (수입리, 광명사)",031-774-8969,031-774-8969,,30,사설,600,미설치,미설치,설치,미설치,미설치
경기도,광주시,분당추모공원휴(자연장),경기도 광주시 오포로 211-49 (능평동),031-762-3000,,www.huepark.co.kr,204,사설,0,미설치,미설치,설치,설치,미설치
경기도,용인시,불광사 양지수목장,경기도 용인시 처인구 백암면 박곡로208번길 24 (박곡리),031-323-1207,,http://wwwxn--w52bz9kg2c4uc6wdcom/,130,사설,4500,설치,미설치,설치,설치,설치
경기도,김포시,살렘전원그리스도의교회자연장지,경기도 김포시 월곶면 김포대학로 130 (포내리),031-982-6953,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,용인시,샘물호스피스 자연장지,경기도 용인시 처인구 백암면 고안로51번길 112-25 (고안리),031-329-2993,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,양주시,서울신흥교회 하늘계단수목장,경기도 양주시 평화로1261번길 372-146 (산북동),031-821-4242,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,양평군,선연사 자연장지,"경기도 양평군 양평읍 농업기술센터길 19-18 (공흥리, 선연사)",031-774-6656,,,,사설,200,미설치,미설치,미설치,미설치,미설치
경기도,연천군,성아우구스띠노수도회 자연장지,경기도 연천군 왕징면 왕산로 722 (동중리),031-834-1262,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,광주시,소망수양관 자연장지,경기도 광주시 곤지암읍 건업리 54-4,02-512-9191,,,100,사설,33,설치,미설치,설치,미설치,미설치
경기도,연천군,수불사추모공원,"경기도 연천군 청산면 전영로215번길 153-16, 수불사 추모공원 ",031-832-6222,,subulsa.kr/greeting,20,사설,0,미설치,미설치,미설치,미설치,설치
경기도,수원시 영통구,수원시연화장 자연장지,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6500,031-218-6519,www.suwonudc.co.kr/suwonyhj/mainPage.do,400,공설,6000,미설치,미설치,설치,미설치,미설치
경기도,양평군,시냇가푸른나무교회수목장림,"경기도 양평군 단월면 석산로 513-56(향소리, 숲속작은나라)",02-877-0051,02-874-0589,www.gt21.kr,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,양주시,신세계공원(자연장),경기도 양주시 장흥면 권율로29번길 170 (일영리),031-855-1241,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,광주시,신월공설자연장지,경기도 광주시 초월읍 신월길 36-18 (신월리),031-767-0383,,www.gumc.or.kr/business/park,24,공설,2167,미설치,미설치,설치,미설치,미설치
경기도,안산시 단원구,쌍계사,"경기도 안산시 단원구 대부황금로 1171 (대부북동, 쌍계사)",032-880-1727,,www.twomemorial.co.kr,100,사설,3500,미설치,미설치,설치,설치,설치
경기도,안성시,안성시추모공원 자연장지,경기도 안성시 미양면 보촌4길 70 (고지리),031-677-9944,031-677-9966,www.asimc.or.kr/chumo,155,공설,0,미설치,미설치,설치,설치,미설치
경기도,안성시,안성제일교회 수목장,경기도 안성시 삼죽면 율곡리 산108-12,031-672-2607,,www.asjch.com,50,사설,1500,미설치,미설치,설치,미설치,미설치
경기도,용인시,약천사,"경기도 용인시 처인구 양지면 양지로63번길 9-18 (양지리, 약천사)",031-338-3362,,,30,사설,40,미설치,미설치,설치,설치,미설치
경기도,안성시,에버그린수목장,경기도 안성시 양성면 남북대로 1698 (동항리),031-673-4785,031-673-4786,www.evergreenpark.co.kr,30,사설,12000,미설치,미설치,설치,설치,미설치
경기도,여주시,여주추모공원 자연장지,경기도 여주시 가남읍 여주남로 769 (본두리),031-880-4061,031-887-2476,www.yeojufmc.or.kr/user/parkingEnvironment/memorialPark.do,137,공설,7008,미설치,설치,설치,미설치,미설치
경기도,가평군,영은교회 자연장지(수목장),경기도 가평군 설악면 설곡리 산 224-8,02-2676-7171,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,가평군,영은교회 자연장지(수목장림),경기도 가평군 설악면 설곡리 산 224-8,02-2676-7171,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,동두천시,예래원(자연장지),경기도 동두천시 탑신로 668 (탑동동),031-867-8707,,www.erehwon.or.kr,200,사설,357,설치,설치,설치,설치,설치
경기도,연천군,오봉사 수목장림,경기도 연천군 연천읍 현문로245번길 384 (고문리),031-834-2140,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,안산시 단원구,와동꽃빛공원 자연장지,경기도 안산시 단원구 순환로 390 (와동),031-481-3359,031-481-6661,,100,공설,2492,설치,설치,설치,미설치,미설치
경기도,용인시,용인로뎀파크,"경기도 용인시 처인구 양지면 한터로 432-16 (대대리, 용인로뎀파크교회)",031-321-4477,,www.rodempark.com,,사설,1700,미설치,미설치,미설치,미설치,미설치
경기도,용인시,용인평온의숲 예정원,"경기도 용인시 처인구 이동면 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900,031-329-5904,www.tranquil-forest.or.kr,661,공설,11928,설치,설치,설치,설치,미설치
경기도,안성시,우성공원묘원(자연장지),"경기도 안성시 일죽면 화곡길 158 (화곡리, 우성공원묘원)",031-672-5008,,www.wspark.co.kr,,사설,1625,미설치,미설치,미설치,미설치,미설치
경기도,안성시,유토피아수목장,"경기도 안성시 일죽면 화곡길 130 (화곡리, 유토피아추모관)",031-673-7904,031-674-7904,www.goutopia.co.kr,500,사설,20000,설치,설치,설치,설치,설치
경기도,안성시,유토피아추모공원(자연장지),경기도 안성시 일죽면 화곡길 93 (화곡리),031-673-7904,031-674-7904,,68,사설,17000,미설치,미설치,설치,설치,미설치
경기도,의왕시,의왕하늘쉼터 자연장지,경기도 의왕시 오매기백운산길 41-57 (오전동),031-345-2831,031-345-2839,www.uiwang.go.kr/UWKORWEL0901,26,공설,2800,미설치,미설치,설치,미설치,미설치
경기도,이천시,이천시립 자연장지,경기도 이천시 부발읍 황무로1719번길 189 (죽당리),031-631-3578,,www.2000fmc.or.kr,60,공설,10000,미설치,미설치,설치,설치,설치
경기도,고양시 일산동구,일산공감수목장(봉화사),경기도 고양시 일산동구 지영로194번길 132 (지영동),031-975-4587,,www.일산공감수목장.com,80,사설,20000,미설치,미설치,설치,설치,미설치
경기도,고양시,자연애숲(다니엘교회),경기도 고양시 일산동구 지영로194번길 135 (지영동),031-977-9915,,,48,사설,0,미설치,미설치,설치,설치,미설치
경기도,남양주시,재단법인북한강공원 자연장지,"경기도 남양주시 화도읍 모꼬지로17번길 202 (구암리, 북한강공원)",031-592-0081,,www.bhgpark.co.kr,0,사설,0,미설치,미설치,설치,미설치,미설치
경기도,시흥시,정왕공설자연장지,경기도 시흥시 정왕동 산2-1,031-310-2264,,,10,공설,2015,미설치,미설치,설치,미설치,미설치
경기도,광주시,중대공원자연장지,경기도 광주시 순암로 192 (중대동),031-762-0383,031-762-0382,www.gumc.or.kr/business/park,60,공설,4578,미설치,설치,설치,미설치,미설치
경기도,연천군,중앙추모공원,경기도 연천군 미산면 마유로 58-38 (백석리),031-833-7737,031-835-7737,www.하늘길.com,50,사설,0,미설치,미설치,설치,설치,미설치
경기도,광주시,중흥교회 자연장(남서울가족공원),경기도 광주시 곤지암읍 가마을길 83-14 (오향리),031-764-4680,,www.남서울가족공원.com,100,사설,208,미설치,미설치,설치,설치,설치
경기도,광주시,중흥교회복지선교회,경기도 광주시 곤지암읍 오향리 10-14,031-764-4005,,xn--o39a5rx2gntwftggen5j.com/,100,사설,20000,미설치,미설치,설치,설치,설치
경기도,용인시,천주교인보성체수도회,"경기도 용인시 처인구 포곡읍 백옥대로1832번길 68 (삼계리, 수녀원)",031-339-9025,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경기도,김포시,청솔수목장,경기도 김포시 월곶면 애기봉로409번길 82-11 (개곡리),031-1899-4266,,www.chungsol.net,30,사설,0,미설치,미설치,설치,설치,미설치
경기도,광주시,충현공원 자연장지,경기도 광주시 용샘길 115-25 (목현동),031-764-9617,,www.충현교회.net,100,사설,4320,설치,미설치,설치,설치,설치
경기도,양주시,하늘소풍수목장(호산나교회),경기도 양주시 평화로1261번길 372-74 (산북동),031-1577-8195,031-856-4455,haneulsopung.co.kr,100,사설,5000,미설치,미설치,설치,설치,미설치
경기도,양평군,하이패밀리 자연장지,경기도 양평군 서종면 도장리 산32,031-772-3223,,,,사설,3000,미설치,미설치,미설치,미설치,미설치
경기도,화성시,화성나래원 수목장,경기도 화성시 만세구 팔탄면 온천로 280-6 (덕천리),031-352-7214,,hwaseongsumokjang.com/,20,사설,1200,미설치,미설치,설치,미설치,미설치
경기도,화성시,화성하늘공원 수목장림,경기도 화성시 만세구 장안면 포승장안로 1035 (장안리),031-351-4440,,hwaseongsoop.com/,14,사설,0,미설치,미설치,설치,설치,미설치
경기도,화성시,화성함백산추모공원 바람마루,경기도 화성시 효행구 매송면 서해로 2448-32 (숙곡리),031-240-9200,031-240-9277,,,공설,0,미설치,미설치,설치,미설치,미설치
강원특별자치도,철원군,(재)목련공원묘원 자연장지,"강원특별자치도 철원군 서면 싸리골길 133 (자등리, 목련공원)",033-458-4444,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,춘천시,(주)광림공원 동산공원묘원(자연장),"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-263-9446,,www.dongsanpark.co.kr,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,횡성군,길상사 수목장림,강원특별자치도 횡성군 서원면 양서동로 377 (석화리),031-771-7319,,www.하늘길수목장.com,20,사설,0,미설치,미설치,설치,설치,미설치
강원특별자치도,홍천군,도심리교회 하늘로공원,강원특별자치도 홍천군 화촌면 도심리길 196 (구성포리),033-433-3321,,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,동해시,동해시하늘정원자연장지,"강원특별자치도 동해시 강원남부로 4589 (단봉동, 동해시하늘정원)",033-530-2796,033-530-2735,,,공설,4800,미설치,미설치,설치,미설치,미설치
강원특별자치도,횡성군,반포교회 수목장림,강원특별자치도 횡성군 갑천면 상대리 산191,02-599-1449,,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,홍천군,사모보궁자연장,강원특별자치도 홍천군 두촌면 한계길 23-11 (철정리),033-436-1414,,,,사설,500,미설치,미설치,미설치,미설치,미설치
강원특별자치도,삼척시,삼척시추모공원 자연장,강원특별자치도 삼척시 강원남부로 4540 (등봉동),033-574-7912,,www.samcheok.go.kr/memorial,200,공설,7247,설치,미설치,설치,미설치,설치
강원특별자치도,철원군,성도장로교회 자연장지,강원특별자치도 철원군 서면 싸리골길 79-1 (자등리),033-458-1907,,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,강릉시,성모자애공원,강원특별자치도 강릉시 주문진읍 주문리 산44-15,033-662-9115,,,,사설,120,미설치,미설치,미설치,미설치,미설치
강원특별자치도,양구군,양구봉안공원 자연장지,강원특별자치도 양구군 양구읍 금강산로 518-40 (하리),033-480-2577,,,30,공설,1500,미설치,미설치,설치,미설치,미설치
강원특별자치도,영월군,영월중앙감리교회 자연장지,강원특별자치도 영월군 영월읍 하송로 112 (하송리),033-374-4891,033-374-4891,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,영월군,원주제일교회 자연장지,강원특별자치도 영월군 주천면 신일리 산253,033-742-2170,,,,사설,140,미설치,미설치,미설치,미설치,미설치
강원특별자치도,횡성군,원주중부교회자연장지,강원특별자치도 횡성군 안흥면 소사리  511-5 ,033-744-2760,,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,춘천시,일심정사 수목장림,강원특별자치도 춘천시 남산면 김유정로 427-28 (광판리),,,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,춘천시,일월사추모공원(자연장지),강원특별자치도 춘천시 남산면 봉의텃골길 149-10 (행촌리),033-243-3654,,,,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,양양군,자연으로추모정원,강원특별자치도 양양군 현남면 매호길 273 (후포매리),033-671-6279,,,30,사설,2000,설치,미설치,설치,설치,미설치
강원특별자치도,홍천군,천봉사 자연장지,강원특별자치도 홍천군 서면 팔봉산로 118 (대곡리),033-435-8941,,chunbongsasumok.com,,사설,3000,미설치,미설치,미설치,미설치,미설치
강원특별자치도,강릉시,청솔공원 자연장지,강원특별자치도 강릉시 사천면 석교리 산162,033-660-3857,,https://www.gn.go.kr/www/contents.do?key=1169,,공설,1826,설치,설치,설치,설치,미설치
강원특별자치도,춘천시,춘천안식공원 잔디장,"강원특별자치도 춘천시 동산면 종자리로 331-50 (군자리, 춘천시공설묘원)",033-261-7314,033-261-7315,,10,공설,16447,설치,설치,설치,설치,설치
강원특별자치도,태백시,태백공원묘원 자연장지,"강원특별자치도 태백시 백두대간로 844 (창죽동, 태백공동묘지)",033-550-2844,033-550-2961,,,공설,2000,미설치,미설치,설치,미설치,미설치
강원특별자치도,홍천군,팔봉사 더유일추모공원,강원특별자치도 홍천군 홍천읍 큰골길 295-14 (갈마곡리),033-435-8804,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
강원특별자치도,홍천군,홍천군 추모공원 자연장지,강원특별자치도 홍천군 홍천읍 하오안리 산130-1,033-430-2106,,,100,공설,25945,설치,설치,설치,설치,설치
강원특별자치도,화천군,화천공원묘원 자연장지,"강원특별자치도 화천군 하남면 영서로 5697-66 (원천리, 화천장례식장)",033-440-2316,,,,공설,705,미설치,미설치,미설치,미설치,미설치
강원특별자치도,횡성군,횡성군공설자연장지,강원특별자치도 횡성군 갑천면 태기로구방8길 132 (구방리),033-340-2904,033-340-2552,,,공설,0,미설치,미설치,미설치,미설치,미설치
충청북도,보은군,결초보은 추모공원(자연장지),충청북도 보은군 보은읍 속리산로 37 (누청리),043-542-1232,043-540-3809,,80,공설,18339,미설치,미설치,설치,설치,미설치
충청북도,음성군,다래원자연장지,충청북도 음성군 생극면 오신로445번길 77 (신양리),043-883-4449,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,충주시,동서울교회 자연장지,충청북도 충주시 소태면 구룡고개길 152 (주치리),02-463-8885,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,청주시 상당구,석화사 자연장지,충청북도 청주시 상당구 미원면 내산1길 91-37 (내산리),,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,영동군,선불교자연장지,충청북도 영동군 심천면 마곡리 185-3,043-745-7820,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,음성군,수원제일교회 자연장지,충청북도 음성군 음성읍 초천리 산129-1,031-244-1004,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,옥천군,옥천군공설자연장지,충청북도 옥천군 군서면 월전리 산19-1,043-730-3323,,,,공설,0,미설치,미설치,미설치,미설치,미설치
충청북도,옥천군,옥천성당요셉공원,충청북도 옥천군 옥천읍 중앙로 91 (삼양리),043-731-9981,,,100,사설,0,설치,설치,설치,설치,설치
충청북도,진천군,원각사 자연장지,충청북도 진천군 백곡면 양백리 산72-5,,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,청주시,정음사원추모관,충청북도 청주시 서원구 3순환로644번길 33 (죽림동),043-233-0924,,,,사설,50,미설치,미설치,미설치,미설치,미설치
충청북도,제천시,제천시영원한쉼터 자연장지,충청북도 제천시 송학면 송학주천로9길 122 (포전리),043-644-6613,043-642-0240,www.okjc.net/welfare/contents.do?key=771,150,공설,7000,미설치,설치,설치,설치,설치
충청북도,진천군,진천군 자연장지,충청북도 진천군 진천읍 장관리 758-3번지 일원,043-539-3396,043-537-0462,,,공설,0,미설치,미설치,미설치,미설치,미설치
충청북도,청주시 상당구,청주성요셉공원 자연장지,"충청북도 청주시 상당구 가덕면 병암길 35-52 (시동리, 성당)",043-298-5880,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청북도,청주시,청주시목련공원자연장,"충청북도 청주시 상당구 목련로 731 (월오동, 목련공원)",043-270-8578,043-201-1948,,181,공설,5937,설치,설치,설치,설치,미설치
충청북도,청주시,평안교회 자연장지,충청북도 청주시 서원구 남이면 구암리 산15-14,,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,서천군,(재)대전교구천주교회 서천자연장지,충청남도 서천군 문산면 수암리 산77,041-952-4460,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,공주시,(재)성모성심수도회 자연장지,충청남도 공주시 신풍면 봉갑리 356-15,041-841-1135,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,부여군,(재)영호추모공원 매화동산,충청남도 부여군 세도면 해촌로63번길 43-9 (수고리),041-832-7004,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,서산시,경인침례교회 자연장지,충청남도 서산시 지곡면 산성리 1-2,032-571-0028,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,공주시,공주나래원 자연장지,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980,,https://www.gongju.go.kr/naraewon/sub02_04.do,297,공설,3340,설치,설치,설치,설치,설치
충청남도,보령시,국립기억의숲,충청남도 보령시 성주면 개화리 산41,041-402-7100,,www.wbf.or.kr,,공설,0,미설치,미설치,미설치,미설치,미설치
충청남도,당진시,남부권공설묘지 자연장지,충청남도 당진시 신평면 상오로 31 (상오리),041-350-3736,041-362-7387,,,공설,6700,설치,미설치,미설치,미설치,미설치
충청남도,당진시,대호지공설묘지 자연장지,"충청남도 당진시 대호지면 봉선길 123 (장정리, 어성정공동묘지)",041-350-3044,,https://www.law.go.kr/자치법규/당진시장사시설등의설치및관리조례/,,공설,0,미설치,미설치,미설치,미설치,미설치
충청남도,보령시,보령시모란공원 자연장,"충청남도 보령시 성주면 만수로 695-14 (개화리, 모란공원사무실)",041-933-5671,,www.brsisul.or.kr/kor/sub01_03_01.do,,공설,3000,설치,설치,설치,미설치,설치
충청남도,보령시,분당소망교회 보령동산,충청남도 보령시 오천면 교성리 339-12,031-709-1004,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,서산시,서산시 희망공원(자연장지),충청남도 서산시 인지면 무학재2길 106 (산동리),041-660-2719,041-669-2719,,,공설,22534,미설치,미설치,설치,설치,미설치
충청남도,당진시,석문공설묘지 자연장지,"충청남도 당진시 석문면 통정1길 86-38 (삼화리, 공설묘지관리사)",041-353-5944,041-353-5944,,,공설,0,미설치,미설치,미설치,미설치,미설치
충청남도,공주시,성공사 수목장림,충청남도 공주시 우성면 방문리 1022-2,041-853-3355,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,아산시,아산시공설자연장지,충청남도 아산시 송악면 외암로 30-30 (거산리),041-538-1940,,,,공설,0,미설치,미설치,미설치,미설치,미설치
충청남도,계룡시,재단법인 아너스홈,충청남도 계룡시 두마면 제1산단로 132 (입암리),042-585-0536,,,,사설,0,미설치,미설치,미설치,미설치,미설치
충청남도,공주시,정안수목장,충청남도 공주시 정안면 차령고개로 17-57 (사현리),041-854-0855,,www.정안수목장.kr,150,사설,150,설치,설치,설치,설치,설치
충청남도,태안군,천주교태안교회 공원묘지,충청남도 태안군 태안읍 터널길 26-13 (동문리),041-674-1004,,,,사설,160,미설치,미설치,설치,미설치,미설치
